915.000000
50.000000
300.000000
25
264.714042	0.022775	0.020326	2.295480	
80.738060	0.029176	0.015166	1.964873	
36.403027	0.032649	0.015119	0.198401	
341.209143	0.022710	0.017910	1.908383	
141.291604	0.029825	0.019076	1.495010	
86.188543	0.044982	0.024202	1.392926	
316.094821	0.029093	0.022915	1.719871	
348.565081	0.037036	0.021354	0.233009	
109.042909	0.043445	0.017767	1.832575	
527.241096	0.038812	0.011726	0.477920	
453.330882	0.025665	0.013430	1.059206	
508.410688	0.023695	0.014214	0.082949	
395.385205	0.037302	0.013709	1.834773	
431.910001	0.024494	0.013770	0.609027	
484.683340	0.022567	0.010782	2.546525	
430.550218	0.038894	0.014726	0.136601	
369.661214	0.043200	0.012161	2.327250	
729.995575	0.024777	0.009422	2.165746	
736.365093	0.033208	0.009594	2.234962	
798.338115	0.026083	0.010217	0.966002	
913.368480	0.025793	0.009034	1.672903	
893.345286	0.025082	0.009082	1.020478	
750.035249	0.038213	0.010223	2.712058	
684.741508	0.025875	0.008435	0.240699	
858.267617	0.028749	0.010705	1.960936	
